epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
131,790.444,1.19957,0.94348,1.77874,0.91851,0.9525,0.97549,0.74897,0.96446,0.81317,1.83555,0.000713,0.000713,0.000713
132,796.357,1.22878,0.95658,1.82756,0.84274,0.94366,0.9687,0.77992,0.9091,0.78648,1.80178,0.0007031,0.0007031,0.0007031
133,802.875,1.25439,1.03932,1.84354,0.98434,0.88532,0.97639,0.75627,0.9601,0.74719,1.83606,0.0006932,0.0006932,0.0006932
134,808.925,1.238,0.94343,1.80117,0.90299,0.91773,0.97131,0.75369,0.97312,0.74688,1.82592,0.0006833,0.0006833,0.0006833
135,814.938,1.25231,1.00543,1.83105,0.90299,0.91773,0.97131,0.75369,0.97312,0.74688,1.82592,0.0006734,0.0006734,0.0006734
136,820.496,1.2111,1.0327,1.78558,0.86893,0.93378,0.95832,0.74871,0.95596,0.78629,1.78476,0.0006635,0.0006635,0.0006635
137,826.764,1.20303,0.9742,1.78297,0.86008,0.95239,0.96455,0.76642,0.91804,0.78427,1.78913,0.0006536,0.0006536,0.0006536
138,832.427,1.18361,0.92606,1.74606,0.88091,0.93769,0.96974,0.76042,0.91024,0.75642,1.79649,0.0006437,0.0006437,0.0006437
139,838.192,1.17436,0.9424,1.76102,0.88091,0.93769,0.96974,0.76042,0.91024,0.75642,1.79649,0.0006338,0.0006338,0.0006338
140,844.536,1.19048,0.90638,1.74706,0.89587,0.96941,0.97423,0.7481,0.94857,0.78089,1.83205,0.0006239,0.0006239,0.0006239
141,849.966,1.21748,0.91854,1.77505,0.97001,0.91126,0.9706,0.76115,0.93208,0.81084,1.81805,0.000614,0.000614,0.000614
142,855.96,1.17146,0.89688,1.72022,0.94,0.92958,0.95961,0.74897,1.05044,0.8113,1.8777,0.0006041,0.0006041,0.0006041
143,861.894,1.19763,0.91308,1.7632,0.94,0.92958,0.95961,0.74897,1.05044,0.8113,1.8777,0.0005942,0.0005942,0.0005942
144,867.56,1.19045,0.94637,1.76859,0.91874,0.92958,0.97144,0.75231,1.04074,0.793,1.85157,0.0005843,0.0005843,0.0005843
145,873.86,1.1545,0.90856,1.75682,0.92714,0.97183,0.97716,0.75539,0.96911,0.73554,1.77988,0.0005744,0.0005744,0.0005744
146,879.232,1.08364,0.86382,1.66778,0.93124,0.97183,0.98011,0.78032,0.83768,0.71096,1.69068,0.0005645,0.0005645,0.0005645
147,885.604,1.15092,0.89802,1.69447,0.93124,0.97183,0.98011,0.78032,0.83768,0.71096,1.69068,0.0005546,0.0005546,0.0005546
148,891.346,1.10959,0.9012,1.7479,0.9147,0.97183,0.97832,0.77901,0.83862,0.70542,1.7132,0.0005447,0.0005447,0.0005447
149,897.638,1.12067,0.86225,1.72132,0.90616,0.95204,0.97229,0.77489,0.84447,0.73862,1.72434,0.0005348,0.0005348,0.0005348
150,903.275,1.19111,0.96149,1.77907,0.88308,0.9574,0.96907,0.76969,0.85698,0.74322,1.71525,0.0005249,0.0005249,0.0005249
151,909.27,1.1867,0.94305,1.78566,0.88308,0.9574,0.96907,0.76969,0.85698,0.74322,1.71525,0.000515,0.000515,0.000515
152,915.793,1.11858,0.85781,1.66683,0.90472,0.95775,0.97621,0.77338,0.89709,0.70921,1.73104,0.0005051,0.0005051,0.0005051
153,921.444,1.06834,0.84385,1.68912,0.94672,0.95775,0.98526,0.7815,0.87287,0.66953,1.71582,0.0004952,0.0004952,0.0004952
154,927.166,1.10257,0.85278,1.69682,0.96639,0.95775,0.98176,0.78458,0.86549,0.67991,1.71953,0.0004853,0.0004853,0.0004853
155,933.065,1.09307,0.82452,1.70774,0.96639,0.95775,0.98176,0.78458,0.86549,0.67991,1.71953,0.0004754,0.0004754,0.0004754
156,938.72,1.06117,0.82814,1.6684,0.93834,0.97183,0.98128,0.77581,0.86598,0.69761,1.73632,0.0004655,0.0004655,0.0004655
157,945.002,1.10056,0.91809,1.68604,0.91945,0.96466,0.97907,0.79245,0.8517,0.69419,1.72646,0.0004556,0.0004556,0.0004556
158,950.563,1.15471,0.93485,1.76117,0.92256,0.97183,0.97637,0.77306,0.86721,0.69198,1.73779,0.0004457,0.0004457,0.0004457
159,956.683,1.08443,0.87103,1.67714,0.92256,0.97183,0.97637,0.77306,0.86721,0.69198,1.73779,0.0004358,0.0004358,0.0004358
